area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2911,5.0,3.0,190.79
Super built-up  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2773,5.0,0.0,157.09
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1932,3.0,3.0,104.17
Plot  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1020,3.0,2.0,66.09
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1192,2.0,2.0,41.97
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1561,3.0,2.0,75.88
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1208,2.0,3.0,108.28
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1245,2.0,3.0,102.34
Built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,974,3.0,2.0,46.61
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1234,2.0,3.0,70.19
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1594,4.0,3.0,67.05
Super built-up  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,549,1.0,3.0,44.43
Built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1247,2.0,0.0,66.58
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1248,2.0,0.0,73.2
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1114,2.0,3.0,49.37
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1931,3.0,3.0,122.1
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,578,2.0,1.0,51.39
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,531,2.0,2.0,31.8
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1601,3.0,3.0,133.96
Built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,559,1.0,3.0,83.43
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1265,2.0,0.0,57.53
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1042,3.0,2.0,84.25
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1790,3.0,3.0,221.35
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1613,3.0,1.0,201.44
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1057,3.0,2.0,131.12
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1915,3.0,3.0,139.48
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1992,4.0,0.0,148.35
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,993,2.0,3.0,56.83
Super built-up  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1859,4.0,2.0,102.43
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1823,4.0,3.0,247.7
Plot  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1510,4.0,3.0,78.47
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1296,2.0,1.0,84.71
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1102,3.0,0.0,139.18
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1759,3.0,2.0,93.96
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1179,2.0,1.0,69.92
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,986,3.0,1.0,128.17
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1097,2.0,2.0,70.43
Plot  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,574,1.0,0.0,52.47
Super built-up  Area,Ready To Move,Whitefield,4 BHK,GrnSpce,2751,4.0,3.0,197.41
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1664,3.0,2.0,194.5
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1560,4.0,3.0,142.05
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1216,2.0,0.0,55.34
Built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1289,2.0,2.0,52.43
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1255,2.0,2.0,59.86
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,991,2.0,0.0,68.36
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1880,3.0,0.0,264.73
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,602,2.0,1.0,55.21
Super built-up  Area,Ready To Move,Bisuvanahalli,1 BHK,GrnSpce,524,1.0,2.0,16.11
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1222,2.0,3.0,59.74
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1972,3.0,1.0,139.41
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1289,2.0,0.0,55.52
Built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,985,2.0,1.0,43.66
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,509,1.0,0.0,54.79
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1268,2.0,2.0,112.64
Carpet  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1297,2.0,3.0,92.08
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1510,3.0,0.0,58.81
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1203,2.0,1.0,49.13
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1681,3.0,1.0,83.46
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1041,2.0,0.0,46.73
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1058,3.0,0.0,82.42
Built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1223,2.0,0.0,155.95
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,955,3.0,3.0,58.4
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1191,2.0,2.0,62.78
Plot  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1132,2.0,1.0,165.65
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2466,4.0,1.0,151.0
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1998,4.0,3.0,157.56
Plot  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1260,2.0,3.0,83.35
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1038,2.0,0.0,49.73
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1122,3.0,2.0,153.19
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1920,4.0,2.0,110.12
Carpet  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1270,2.0,3.0,78.66
Carpet  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,969,2.0,0.0,63.73
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1462,4.0,2.0,65.52
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1754,3.0,3.0,75.34
Built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2633,4.0,2.0,358.27
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,983,2.0,3.0,58.26
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,919,2.0,1.0,100.75
Super built-up  Area,Ready To Move,Bellandur,4 BHK,GrnSpce,2397,4.0,3.0,160.92
Built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2676,5.0,2.0,177.64
Carpet  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1028,2.0,1.0,112.36
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1601,3.0,0.0,84.2
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1874,3.0,0.0,97.33
Built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1639,3.0,3.0,117.99
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1043,2.0,0.0,53.02
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1733,3.0,0.0,127.1
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1622,3.0,3.0,100.93
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,932,2.0,0.0,35.87
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1299,3.0,2.0,73.63
Carpet  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1041,2.0,3.0,58.54
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1046,2.0,2.0,95.87
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,973,2.0,2.0,55.45
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1653,3.0,0.0,135.2
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1131,2.0,1.0,44.04
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1802,3.0,0.0,145.96
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1408,4.0,2.0,94.93
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1075,2.0,3.0,48.78
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,995,2.0,1.0,80.99
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1657,3.0,0.0,103.58
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1027,3.0,2.0,75.01
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1057,2.0,2.0,63.1
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1205,2.0,2.0,119.01
Carpet  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2627,4.0,3.0,175.93
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1543,3.0,0.0,183.72
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1573,3.0,3.0,67.99
Built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,592,1.0,2.0,25.96
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1067,2.0,1.0,55.49
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,941,2.0,2.0,72.71
Plot  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1199,3.0,2.0,67.68
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1665,4.0,0.0,63.02
Carpet  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,550,1.0,1.0,68.18
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1148,2.0,1.0,85.81
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,619,1.0,3.0,30.16
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,961,2.0,3.0,135.55
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1208,2.0,0.0,89.92
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1631,4.0,0.0,68.87
Plot  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1999,3.0,1.0,98.93
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1616,3.0,1.0,189.91
Super built-up  Area,Ready To Move,Bisuvanahalli,5 BHK,GrnSpce,3822,6.0,3.0,142.85
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1098,2.0,2.0,88.13
Carpet  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1191,2.0,3.0,82.44
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1111,2.0,1.0,112.11
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1155,3.0,1.0,69.0
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1464,4.0,1.0,221.33
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2590,5.0,2.0,299.63
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1293,2.0,1.0,87.35
Carpet  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,936,3.0,2.0,151.16
Plot  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1279,2.0,1.0,142.87
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,2288,4.0,1.0,157.86
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,641,1.0,2.0,65.82
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1912,3.0,2.0,318.28
Super built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,GrnSpce,3143,4.0,0.0,146.51
Carpet  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1822,3.0,0.0,134.33
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1101,2.0,0.0,52.33
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,3132,4.0,2.0,314.2
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1584,3.0,3.0,66.72
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1907,3.0,3.0,74.75
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1844,3.0,2.0,93.52
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1964,4.0,2.0,90.84
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,903,2.0,2.0,33.5
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1177,2.0,2.0,62.87
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,909,2.0,0.0,46.34
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1845,3.0,1.0,173.74
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1994,3.0,3.0,98.14
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1924,3.0,3.0,227.78
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,910,2.0,1.0,57.99
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1676,3.0,2.0,78.08
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1161,2.0,0.0,55.95
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,972,3.0,3.0,43.33
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1698,3.0,1.0,102.17
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1470,3.0,2.0,74.49
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1163,2.0,1.0,77.78
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1200,2.0,1.0,110.7
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1926,4.0,3.0,291.55
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,GrnSpce,676,1.0,3.0,48.82
Plot  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,3184,4.0,3.0,203.44
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,916,2.0,1.0,110.04
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1032,2.0,1.0,49.15
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,596,1.0,1.0,32.47
Carpet  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2725,4.0,1.0,181.59
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1182,2.0,2.0,43.24
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1157,3.0,3.0,69.2
Plot  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2714,4.0,0.0,154.73
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1260,2.0,1.0,62.28
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,911,2.0,3.0,100.38
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1613,4.0,0.0,117.5
Built-up  Area,Ready To Move,KR Puram,4 BHK,GrnSpce,3045,4.0,3.0,173.73
Plot  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1819,4.0,3.0,87.28
Built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,743,1.0,1.0,38.52
Plot  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1860,3.0,2.0,137.6
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1699,4.0,2.0,69.82
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1604,3.0,1.0,182.04
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1223,2.0,2.0,57.59
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1915,3.0,3.0,225.55
Plot  Area,Ready To Move,Bisuvanahalli,4 BHK,GrnSpce,2450,5.0,1.0,96.46
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,GrnSpce,2335,4.0,1.0,278.55
Super built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,692,1.0,3.0,38.01
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,936,2.0,0.0,39.09
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1524,3.0,0.0,195.69
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1063,3.0,1.0,78.93
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1075,2.0,0.0,53.91
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1122,2.0,3.0,91.28
Super built-up  Area,Ready To Move,Sarjapur Road,1 BHK,GrnSpce,560,1.0,3.0,41.77
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,928,2.0,2.0,45.77
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,595,2.0,0.0,59.17
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1080,2.0,0.0,42.23
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1415,3.0,2.0,83.64
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1081,2.0,1.0,41.85
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,552,1.0,3.0,67.89
Plot  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1117,2.0,3.0,70.96
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1891,3.0,0.0,90.92
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1927,4.0,3.0,75.99
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1564,4.0,1.0,180.66
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1076,2.0,0.0,64.83
Carpet  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1299,2.0,1.0,68.23
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1222,2.0,0.0,141.23
Carpet  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,3099,4.0,2.0,182.85
Built-up  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,743,1.0,1.0,33.34
Carpet  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1145,2.0,0.0,50.32
Plot  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1977,3.0,1.0,81.29
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1077,3.0,1.0,80.82
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1194,3.0,3.0,71.28
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1981,3.0,3.0,171.82
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1238,2.0,2.0,60.26
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1437,4.0,1.0,80.09
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1793,3.0,0.0,121.95
Plot  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,941,3.0,1.0,53.24
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1270,2.0,1.0,46.05
Plot  Area,Ready To Move,Electronic City Phase II,1 BHK,GrnSpce,671,1.0,2.0,30.92
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2721,4.0,3.0,249.54
Plot  Area,Ready To Move,Yelahanka,5 BHK,GrnSpce,4808,5.0,0.0,313.49
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1922,4.0,1.0,189.17
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1047,2.0,1.0,56.03
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1910,3.0,0.0,139.28
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1834,3.0,3.0,213.26
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1864,4.0,3.0,150.14
Plot  Area,Ready To Move,KR Puram,4 BHK,GrnSpce,2269,5.0,2.0,111.61
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1489,3.0,0.0,103.7
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1765,3.0,0.0,182.39
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,3129,4.0,0.0,291.07
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2865,4.0,1.0,199.03
Super built-up  Area,Ready To Move,Electronic City,4 BHK,GrnSpce,2748,4.0,1.0,135.97
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1033,2.0,0.0,100.56
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1745,3.0,2.0,143.1
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1713,3.0,1.0,111.6
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1619,4.0,0.0,125.5
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,911,2.0,0.0,37.62
Built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1202,2.0,1.0,63.47
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1879,3.0,0.0,188.17
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1024,2.0,2.0,125.22
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1202,3.0,0.0,59.54
Plot  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1218,2.0,3.0,62.72
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1404,4.0,2.0,67.61
Super built-up  Area,Ready To Move,Indiranagar,4 BHK,GrnSpce,2225,4.0,2.0,340.97
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1896,4.0,3.0,93.8
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1173,2.0,1.0,94.67
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,914,2.0,1.0,71.72
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1645,3.0,3.0,182.52
Built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,678,1.0,2.0,42.62
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1429,3.0,2.0,66.51
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1711,3.0,1.0,78.89
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1166,2.0,2.0,68.38
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1868,4.0,2.0,280.96
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,2400,4.0,2.0,134.62
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1295,3.0,3.0,53.36
Plot  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1578,3.0,2.0,160.29
Plot  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,534,1.0,0.0,26.77
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1461,4.0,3.0,78.29
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,925,2.0,0.0,42.03
Carpet  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1728,3.0,3.0,158.79
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1048,2.0,1.0,68.83
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1964,3.0,1.0,134.94
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1846,3.0,3.0,218.8
Plot  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1029,2.0,0.0,42.09
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,GrnSpce,2869,4.0,3.0,188.74
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1076,2.0,3.0,58.42
Super built-up  Area,Ready To Move,Koramangala,4 BHK,GrnSpce,2425,4.0,2.0,288.44
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1716,3.0,1.0,85.71
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1796,4.0,1.0,113.06
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1223,3.0,1.0,65.99
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,914,2.0,1.0,68.01
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1085,3.0,2.0,55.9
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1503,3.0,3.0,188.31
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1166,2.0,1.0,63.4
Plot  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,935,3.0,2.0,34.17
Built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,930,2.0,1.0,60.82
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1156,2.0,2.0,131.14
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1069,2.0,0.0,73.48
Built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,989,2.0,1.0,51.21
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1129,2.0,2.0,67.3
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,916,2.0,2.0,76.58
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,904,2.0,3.0,63.41
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1099,2.0,0.0,138.88
Built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1789,3.0,3.0,102.43
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1586,3.0,2.0,145.53
